Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,
127,23.71,14.67%,0.0002,0.0040463486
128,9.94,32.46%,0.0095,0.063778022
129,23.44,10.84%,0.0079,0.1651029216
130,4.53,27.94%,0.0039,0.0127308402
131,7.7,36.74%,0.0014,0.006819428
132,18.7,2.69%,0.005,0.09098485
133,3.7,33.10%,0.0083,0.02054499
134,4.61,3.95%,0.0008,0.003542324
135,12.01,23.40%,0.0028,0.025759048
136,23.35,36.89%,0.0099,0.1458882315
137,6.95,34.73%,0.0072,0.032661108
138,8.99,29.33%,0.0073,0.0463786009
139,4.43,21.00%,0.0063,0.02204811
140,10.27,7.30%,0.0041,0.039033189
141,22.71,24.70%,0.0067,0.114574221
142,17.95,38.31%,0.0006,0.006644013
143,20.48,30.63%,0.0039,0.0554072064
144,19.79,33.64%,0.0042,0.0551571048
145,12.04,14.15%,0.003,0.03100902
146,6.02,28.75%,0.0049,0.021017325
147,21.42,20.64%,0.0062,0.1053932544
148,6.41,35.78%,0.008,0.032932016
149,2.91,6.58%,0.0007,0.0019029654
150,24.69,7.65%,0.0062,0.141367533
151,20.65,32.09%,0.0095,0.1332224425
152,22.59,10.93%,0.0028,0.0563385564
153,7.85,13.06%,0.0076,0.051868404
154,15.23,6.70%,0.0035,0.049733565
155,17.09,37.73%,0.0002,0.0021283886
156,2.28,9.97%,0.0062,0.0127266408
157,18.73,22.53%,0.0049,0.0710996419
158,20.65,12.98%,0.0042,0.075472446
159,4.31,11.48%,0.0021,0.0080119452
160,15.91,24.35%,0.0023,0.0276826045
161,17.97,19.94%,0.0061,0.0877593702
162,15.48,6.93%,0.0016,0.0230515776
163,18.75,4.93%,0.0017,0.0303035625
164,6.65,27.29%,0.0047,0.0227255105
165,15.94,13.04%,0.0002,0.0027722848
166,6.64,30.41%,0,0
167,17.29,35.48%,0.0092,0.1026306736
168,21,38.65%,0.0076,0.0979146
169,5.07,26.56%,0.0091,0.0338830128
170,2.62,26.87%,0.0023,0.0044068138
171,16.14,22.56%,0.0064,0.0799924224
172,1.96,26.50%,0.003,0.0043218
173,10.48,29.41%,0.0076,0.0562235232
174,20.01,36.15%,0.009,0.114987465
175,7.4,26.02%,0.0067,0.036679284
176,23.68,30.66%,0.0045,0.073888704
177,4.8,36.15%,0.0096,0.02942208
178,7.34,39.28%,0.0044,0.0196101312
179,21.63,24.63%,0.0092,0.1499832852
180,6.29,4.94%,0.0016,0.0095668384
181,15.18,15.49%,0.003,0.038485854
182,22.72,1.53%,0.0002,0.0044744768
183,13.28,17.18%,0.0059,0.0648911264
184,2.47,31.07%,0.0046,0.0078318266
185,18.02,14.60%,0.0055,0.08463994
186,18.3,36.79%,0.0054,0.062464122
187,10.47,22.89%,0.0062,0.0500551854
188,23.76,0.11%,0.0017,0.0403475688
189,9.02,28.30%,0.0046,0.029749764
190,10.52,28.79%,0.0057,0.0427003644
191,16.75,22.87%,0.0047,0.0607205925
192,8.05,28.58%,0.0016,0.009198896
193,23.17,26.33%,0.0067,0.1143645713
194,3.37,11.42%,0.0055,0.016418303
195,8.79,38.51%,0.0049,0.0264843579
196,5.81,2.84%,0.0075,0.04233747
197,21.12,31.13%,0.0062,0.0901811328
198,1.61,15.47%,0.0066,0.0089821578
199,5.69,7.61%,0.003,0.015770973
200,13.74,30.89%,0.0062,0.0588734268
201,14.14,4.67%,0.0039,0.0525706818
202,18.39,6.44%,0.0059,0.1015135356
203,12.38,6.97%,0.001,0.011517114
204,16.33,21.12%,0.0009,0.0115929936
205,14.06,20.09%,0.0044,0.0494355224
206,1.5,14.73%,0.001,0.00127905
207,19.49,20.49%,0.0099,0.1534153401
208,11.41,12.84%,0.003,0.029834868
209,21.18,37.26%,0.0092,0.1222526544
210,19.71,18.65%,0.0054,0.086584059
211,3.62,7.53%,0.0023,0.0076990522
212,8.08,16.41%,0.0058,0.0391736176
213,14.72,23.82%,0.008,0.089709568
214,15.17,38.68%,0.0014,0.0130231416
215,13.1,12.87%,0.007,0.07989821
216,18.51,35.35%,0.0097,0.1160771355
217,9.59,3.24%,0.0012,0.0111351408
218,8.53,33.21%,0.0017,0.0096852179
219,10.46,1.37%,0.0064,0.0660268672
220,14.35,3.28%,0.0093,0.129077676
221,7.34,3.79%,0.0042,0.0296596188
222,9.67,4.09%,0.0059,0.0547195323
223,10.57,4.11%,0.0079,0.0800710267
224,16.45,20.32%,0.0078,0.102237408
225,22.45,11.58%,0.0081,0.160787349
226,8.69,19.33%,0.0089,0.0623909847
227,14.71,31.61%,0.002,0.020120338
228,11.3,34.09%,0,0
229,9.45,14.12%,0.004,0.03246264
230,19.75,38.81%,0.0023,0.0277955575
231,9.31,34.71%,0.0013,0.0079020487
232,1.87,37.17%,0.0051,0.0059920971
233,6.28,13.94%,0.0048,0.0259419264
234,23.05,27.71%,0.0009,0.0149965605
235,17.28,17.96%,0.0022,0.0311883264
236,2.98,35.28%,0.0076,0.0146577856
237,0.09,33.54%,0.0057,0.0003409398
238,2.34,27.12%,0.0064,0.0109145088
239,7.24,25.80%,0.0008,0.004297664
240,14.18,28.87%,0.0011,0.0110948574
241,19.89,27.58%,0.0056,0.0806642928
242,4.61,30.67%,0.0083,0.0265277379
243,22.55,19.51%,0.0039,0.0707869305
244,14.7,34.72%,0.0019,0.018232704
245,9.6,5.04%,0.0037,0.033729792
246,1.51,27.56%,0.0061,0.0066724484
247,22.18,17.54%,0.0006,0.0109737768
248,19.02,34.45%,0.0019,0.023688459
249,0.3,35.13%,0.0018,0.000350298
250,2.17,2.64%,0.0059,0.0124650008
251,20.63,36.87%,0.004,0.052094876
252,12.63,24.75%,0.0007,0.0066528525
253,23.51,31.82%,0.0082,0.1314387676
254,13.39,6.91%,0.0004,0.0049859004
255,12.51,38.56%,0.0015,0.011529216
256,21.75,2.25%,0.0093,0.1977238125
257,2.08,36.27%,0.0062,0.0082186208
258,0.82,16.07%,0.0031,0.0021335006
259,9.8,4.90%,0.0077,0.07176246
260,14.3,37.01%,0.0013,0.011709841
261,23.06,24.36%,0.0047,0.0819801448
262,3.57,13.95%,0.0036,0.011059146
263,0.52,12.56%,0.0095,0.004319536
264,5.25,25.19%,0.0038,0.014924595
265,5.03,37.77%,0.0024,0.0075124056
266,14.67,38.05%,0.0027,0.0245377755
267,20.59,28.61%,0.005,0.073496005
268,22.42,20.89%,0.0001,0.0017736462
269,18.79,26.90%,0.001,0.01373549
270,22.11,30.98%,0.0043,0.0656193846
271,2.55,16.07%,0.0081,0.0173357415
272,5.04,10.19%,0.0026,0.0117687024
273,2.31,10.09%,0.0093,0.0193153653
274,15.37,31.97%,0.0004,0.0041824844
275,21.05,29.96%,0.0013,0.019166446
276,23,31.16%,0.0051,0.08074932
277,14.81,30.02%,0.0085,0.088094323
278,22.92,37.66%,0.0067,0.0957317976
279,16.32,10.00%,0.0076,0.1116288
280,20.65,25.77%,0.0012,0.018394194
281,6.99,15.28%,0.0073,0.0432300744
282,12.09,8.21%,0.0089,0.0987669579
283,18.62,1.06%,0.0012,0.0221071536
284,9.49,20.89%,0.0077,0.0578080503
285,10.81,0.90%,0.0068,0.072846428
286,3.06,2.92%,0.0046,0.0136649808
287,7.65,11.79%,0.0073,0.0492608745
288,18.67,33.79%,0.002,0.024722814
289,9.98,19.38%,0.0058,0.0466660808
290,11.76,13.70%,0.0054,0.054803952
291,13.94,25.68%,0.0039,0.0404048112
292,9.54,35.38%,0.0051,0.0314402148
293,1.52,37.79%,0.0019,0.0017966248
294,13.13,16.92%,0.0088,0.0959939552
295,19.85,31.76%,0.0089,0.120556196
296,9.46,3.70%,0.0031,0.028240938
297,14.66,7.87%,0.0061,0.0823881738
298,6.46,39.48%,0.0033,0.0129016536
299,14.97,34.05%,0.0092,0.090828978
300,3.22,21.69%,0.0091,0.0229463962
301,20.57,24.25%,0.0064,0.09972336
302,17.22,21.78%,0.0094,0.1266131496
303,8.43,21.13%,0.0054,0.0359032014
304,10.55,28.77%,0.001,0.007514765
305,21.27,37.56%,0.0052,0.0690611376
306,13.69,14.89%,0.0059,0.0687441981
307,12.25,31.68%,0.0096,0.08034432
308,3.38,10.36%,0.0063,0.0190879416
309,1.66,23.75%,0.0045,0.005695875
310,7.41,3.09%,0.0084,0.0603206604
311,6.07,25.04%,0.0024,0.0109201728
312,8.11,2.37%,0.0002,0.0015835586
313,20.6,10.27%,0.0087,0.160814106
314,13.4,16.68%,0.0096,0.107182848
315,18.16,18.82%,0.006,0.088453728
316,10.29,26.62%,0.0013,0.0098160426
317,2.98,23.74%,0.0025,0.00568137
318,13.91,14.85%,0.0059,0.0698817535
319,6.81,33.82%,0.0003,0.0013520574
320,5.88,20.22%,0.002,0.009382128
321,14.15,33.38%,0.0007,0.006598711
322,24.88,32.24%,0.0059,0.0994662592
323,12.32,12.58%,0.0084,0.0904692096
324,3.73,4.23%,0.0066,0.0235766586
325,5.62,5.11%,0.0069,0.0367964442
326,18.25,0.93%,0.0056,0.10124954
327,6.13,22.96%,0.0028,0.0132231456
328,13.23,10.68%,0.0076,0.0898094736
329,19.28,30.00%,0.0068,0.0917728
330,13.28,7.09%,0.0063,0.0777322224
331,3.84,37.28%,0.0048,0.0115605504
332,21.84,13.71%,0.0092,0.1733807712
333,17.91,8.13%,0.0082,0.1349221194
334,3.67,13.90%,0.0085,0.026858895
335,19.08,23.12%,0.0002,0.0029337408
336,20.58,38.02%,0.0065,0.082910646
337,0.99,30.33%,0.0092,0.0063455436
338,9.13,38.84%,0.0033,0.0184268964
339,24.23,6.66%,0.0099,0.2239011918
340,10.97,39.52%,0.0085,0.056394576
341,20.23,10.89%,0.0096,0.1730587488
342,8.49,20.49%,0.0046,0.0310518354
343,21.12,20.01%,0.0036,0.0608179968
344,3.78,3.90%,0.0011,0.003995838
345,16.1,22.54%,0.0052,0.064849512
346,3.89,13.68%,0.0047,0.0157818856
347,9.09,18.02%,0.0011,0.0081971802
348,3.51,29.99%,0.0076,0.0186758676
349,15.73,33.88%,0.001,0.010400676
350,1.62,4.79%,0.0048,0.0074035296
351,12.02,15.49%,0.0027,0.0274268754
352,18.82,33.52%,0.0012,0.0150138432
353,8.81,8.92%,0.0083,0.0666004284
354,16.97,33.43%,0.0085,0.0960238965
355,8.23,7.45%,0.0017,0.0129486705
356,4.61,28.55%,0.0049,0.0161398405
357,5.21,34.67%,0.0077,0.0262084361
358,21.55,27.47%,0.0059,0.0922182685
359,8.45,8.21%,0.0035,0.0271468925
360,10.16,17.22%,0.0059,0.0496216432
361,20.56,10.63%,0.0085,0.156183012
362,12.55,1.86%,0.0006,0.007389942
363,14.71,6.77%,0.002,0.027428266
364,0.48,18.77%,0.0065,0.002534376
365,15.17,28.94%,0.0024,0.0258715248
366,2.03,25.03%,0.0024,0.0036525384
367,2.59,30.20%,0.0042,0.007592844
368,24.05,13.69%,0.0068,0.141151374
369,14.22,27.96%,0.0062,0.0635133456
370,19.21,28.45%,0.0035,0.0481066425
371,18.31,30.91%,0.0059,0.0746372361
372,17.45,20.59%,0.001,0.013857045
373,9.12,32.01%,0.0091,0.0564262608
374,1.31,31.71%,0.0024,0.0021470376
375,5.66,39.31%,0.0081,0.0278239374
376,15.01,7.95%,0.0069,0.0953352645
377,10.92,15.00%,0.0062,0.0575484
378,3.05,24.13%,0.007,0.016198245
379,0.39,35.70%,0.0077,0.001930929
380,23.23,2.87%,0.0069,0.1556867631
381,13.26,19.48%,0.0053,0.0565878456
382,12.7,24.02%,0.0041,0.039562786
383,22.58,30.24%,0.0037,0.0582816896
384,19.86,7.27%,0.0045,0.082872801
385,8.9,2.27%,0.0029,0.025224113
386,24.28,7.86%,0.0093,0.2080558056
387,13.55,3.86%,0.0037,0.048199789
388,8.65,4.12%,0.0049,0.040638738
389,3.4,24.88%,0.0019,0.004852752
390,22.05,4.03%,0.0059,0.1248521715
391,20.98,26.35%,0.0049,0.075713673
392,21.26,21.94%,0.0007,0.0116168892
393,2.59,35.57%,0.0005,0.0008343685
394,21.77,31.70%,0.0014,0.020816474
395,17.66,17.73%,0.0068,0.0987963976
396,5.01,35.97%,0.0027,0.0086613381
397,14.17,31.43%,0.0042,0.0408087498
398,4.15,18.68%,0.0071,0.023960938
399,11.27,36.62%,0.0076,0.0542862376
400,6.16,29.76%,0.0021,0.0090862464
401,7.46,32.65%,0.0076,0.038184756
402,8.37,33.23%,0.0084,0.0469446516
403,21.24,38.76%,0.0023,0.0299169648
404,10,37.05%,0.0007,0.0044065
405,21.68,37.08%,0.0072,0.0982156032
406,4.29,34.71%,0.0077,0.0215672457
407,20.83,22.25%,0.0078,0.126323535
408,12.47,6.52%,0.0081,0.0944213436
409,0.4,25.32%,0.0017,0.000507824
410,15.16,13.04%,0.0095,0.125239792
411,15.32,36.40%,0.0035,0.03410232
412,20.3,15.49%,0.0087,0.149253111
413,22.85,28.12%,0.0091,0.149463678
414,2.15,23.14%,0.0097,0.016029153
415,22.73,37.87%,0.0083,0.1172138367
416,22.63,2.74%,0.0015,0.033014907
417,23.48,39.50%,0.0079,0.11222266
418,2.23,21.37%,0.0055,0.0096439695
419,1.38,37.92%,0.0096,0.0082243584
420,16.04,18.19%,0.0072,0.0944807328
421,17.37,31.79%,0.0063,0.0746428851
422,4.09,3.06%,0.0002,0.0007929692
423,9.84,28.29%,0.0071,0.0500994744
424,0.88,37.64%,0.0049,0.0026889632
425,24.91,35.30%,0.0075,0.120875775
426,15.98,20.84%,0.0073,0.0923433064
427,16.38,32.55%,0.0079,0.087281649
428,15.55,13.85%,0.0039,0.0522456675
429,12.22,0.72%,0.0003,0.0036396048
430,0.91,38.70%,0.0022,0.001227226
431,12.92,33.15%,0.0037,0.031956974
432,14.55,6.09%,0.0007,0.0095647335
433,8.76,1.79%,0.0015,0.012904794
434,16.71,13.29%,0.0036,0.0521612676
435,13.01,30.73%,0.0093,0.0838118511
436,18.33,12.63%,0.0079,0.1265178759
437,9.93,12.86%,0.0008,0.0069224016
438,22.13,24.80%,0.0018,0.029955168
439,5.31,1.90%,0.001,0.00520911
440,23.31,8.43%,0.0058,0.1238008086
441,0.87,38.23%,0.006,0.003224394
442,7.52,32.11%,0.0075,0.03828996
443,12.35,29.90%,0.0056,0.04848116
444,17.93,32.76%,0.0064,0.0771592448
445,14.02,38.14%,0.005,0.04336386
446,11.96,35.81%,0.0044,0.0337793456
447,2.86,18.07%,0.0088,0.0206201424
448,12.56,22.77%,0.0007,0.0067900616
449,16.34,17.66%,0.0063,0.0847624428
450,3.94,35.51%,0.0088,0.0223599728
451,16.18,24.11%,0.0066,0.0810414132
452,9,27.26%,0.0094,0.06153804
453,10.55,25.64%,0.0045,0.03530241
454,12.74,7.88%,0.0029,0.0340346552
455,13.42,16.30%,0.0099,0.111202146
456,7.85,12.29%,0.0062,0.042688457
457,20.62,30.72%,0.0071,0.1014273056
458,8.74,23.78%,0.0093,0.0619531404
459,22.31,27.44%,0.0086,0.1392179696
460,18.03,39.31%,0.0018,0.0196963326
461,9.26,11.70%,0.0061,0.049877138
462,16.42,4.95%,0.0029,0.045260909
463,17.44,7.15%,0.0044,0.071249376
464,13.68,5.65%,0.0045,0.05808186
465,0.87,16.26%,0.0072,0.0052454736
466,11.86,21.94%,0.0086,0.0796180776
467,7.23,19.56%,0.0084,0.0488528208
468,3.76,22.15%,0.0031,0.009074196
469,19.91,8.86%,0.0079,0.1433531946
470,19.8,39.34%,0.0099,0.118905732
471,20,14.32%,0.0071,0.1216656
472,24.13,3.05%,0.0013,0.0304122455
473,7.55,12.75%,0.009,0.059286375
474,5.89,5.71%,0.0053,0.0294345093
475,23.96,37.06%,0.0017,0.0256367208
476,13.42,29.38%,0.0066,0.0625495464
477,15.49,37.89%,0.0048,0.0461800272
478,15.55,10.19%,0.0027,0.0377067285
479,20.51,39.36%,0.0037,0.0460178768
480,4.65,33.18%,0.0012,0.003728556
481,22.71,3.42%,0.0004,0.0087733272
482,2.05,10.38%,0.0001,0.000183721
483,16.56,1.98%,0.0015,0.024348168
484,24.01,36.10%,0.0058,0.088985862
485,23.02,9.10%,0.0006,0.012555108
486,8.97,32.24%,0.0018,0.0109405296
487,13.88,39.92%,0.006,0.050034624
488,18.85,16.45%,0.0011,0.0173240925
489,21.34,24.76%,0.0074,0.1188159984
490,6.59,12.45%,0.0076,0.043848542
491,23.48,18.00%,0.0042,0.08086512
492,18.09,13.18%,0.0012,0.0188468856
493,24.38,23.06%,0.0003,0.0056273916
494,8.36,38.75%,0.0001,0.00051205
495,18.87,28.97%,0.0092,0.1233109212
496,21.33,19.74%,0.0018,0.0308150244
497,4.94,0.80%,0.0046,0.022542208
498,9.45,4.01%,0.0035,0.0317486925
499,12.8,23.68%,0.0006,0.005861376
500,24.25,29.88%,0.0027,0.04591107
501,7.77,4.90%,0.0047,0.034729569
502,10.42,3.35%,0.0001,0.001007093
503,16.48,29.40%,0.0047,0.054683936
504,19.35,2.51%,0.009,0.169778835
505,21.98,5.39%,0.0061,0.1268511958
506,13.6,35.45%,0.0047,0.04126036
507,7.29,16.18%,0.004,0.024441912
508,10.15,1.36%,0.0045,0.04505382
509,5.39,22.31%,0.0032,0.0133999712
510,21.44,17.91%,0.0037,0.0651203552
511,23.4,29.22%,0.005,0.0828126
512,5.89,35.80%,0.0056,0.021175728
513,20.24,34.52%,0.0045,0.059639184
514,9.5,39.91%,0.0003,0.001712565
515,3.37,25.60%,0.0053,0.013288584
516,24.77,2.43%,0.0082,0.1981783298
517,0.22,29.93%,0.0077,0.0011869858
518,14.57,0.26%,0.0001,0.0014532118
519,2.24,37.10%,0.0011,0.001549856
520,23.54,20.69%,0.0026,0.0485408924
521,18.04,37.67%,0.0081,0.0910790892
522,9.49,37.45%,0.0081,0.0480815595
523,10.65,10.55%,0.0046,0.043821555
524,7.22,0.51%,0.0058,0.0416624324
525,8,2.23%,0.0042,0.03285072
526,2.07,32.81%,0.0029,0.0040334157
527,2.12,9.52%,0.003,0.005754528
528,11.5,16.10%,0.0043,0.04148855
529,13.47,27.31%,0.0012,0.0117496116
530,20.43,19.11%,0.0059,0.0975023793
531,7.35,35.33%,0.0037,0.0175870065
532,3.85,5.49%,0.0089,0.0323838515
533,23.62,14.67%,0.0021,0.0423253866
534,7.2,33.12%,0.0041,0.019742976
535,16,33.50%,0.002,0.02128
536,1.11,31.53%,0.0014,0.0010640238
537,18.71,36.05%,0.0094,0.112471423
538,19.4,14.22%,0.0063,0.104840316
539,4.83,23.21%,0.0018,0.0066761226
540,3.15,31.35%,0.0048,0.01037988
541,8.79,13.47%,0.0053,0.0403117311
542,10.49,39.32%,0.0071,0.0451938572
543,20.23,12.70%,0.0002,0.003532158
544,11.53,7.46%,0.0022,0.0234736964
545,7.18,31.18%,0.0018,0.0088942968
546,21.12,19.59%,0.0027,0.0458529984
547,2.62,6.09%,0.0026,0.0063971492
548,1.96,9.92%,0.0093,0.0164197824
549,10.32,6.96%,0.0008,0.0076813824
550,6.69,35.20%,0.0012,0.005202144
551,6.46,39.26%,0.0082,0.0321751928
552,5.58,10.18%,0.0022,0.0110263032
553,5.91,39.52%,0.0068,0.0243057024
554,2.13,14.00%,0.0051,0.00934218
555,1.12,30.02%,0.0007,0.0005486432
556,12.7,1.46%,0.0058,0.072584564
557,14.31,7.12%,0.0039,0.0518353992
558,13.02,8.21%,0.0091,0.1087546278
559,20.87,2.52%,0.0052,0.1057891952
560,24.51,28.54%,0.0018,0.0315267228
561,14.89,33.26%,0.0075,0.074531895
562,22.45,32.05%,0.0042,0.064070055
563,22.72,8.08%,0.0003,0.0062652672
564,14.06,9.98%,0.004,0.050627248
565,12.43,13.76%,0.0086,0.0921888352
566,8.95,7.16%,0.0045,0.03739131
567,15.76,19.12%,0.0087,0.1108961856
568,17.78,31.37%,0.0009,0.0109821726
569,12.6,0.09%,0.0075,0.09441495
570,5.85,8.15%,0.0046,0.024716835
571,21.79,35.55%,0.0095,0.1334147225
572,13.62,39.64%,0.0089,0.0731671848
573,14.97,1.90%,0.0083,0.121890231
574,5.5,9.26%,0.0078,0.03892746
575,13.66,35.43%,0.0088,0.0776183056
576,15.63,1.91%,0.002,0.030662934
577,8.17,39.39%,0.0016,0.0079229392
578,18.91,21.49%,0.004,0.059384964
579,22.32,21.83%,0.0063,0.1099195272
580,14.23,1.35%,0.0002,0.002807579
581,15.65,10.73%,0.0066,0.092206983
582,24.99,33.48%,0.001,0.016623348
583,12.15,31.59%,0.0053,0.0440526195
584,17.66,23.34%,0.0019,0.0257224964
585,4.01,37.85%,0.0016,0.003987544
586,19.36,3.05%,0.0032,0.060062464
587,2.14,12.72%,0.0089,0.0166233488
588,1.39,8.89%,0.0033,0.0041792157
589,9.61,11.12%,0.0057,0.0486857976
590,7.43,21.73%,0.0063,0.0366374043
591,15.2,34.75%,0.0074,0.0733932
592,8.56,31.22%,0.009,0.052988112
593,6.31,17.03%,0.0026,0.0136120582
594,20.51,22.63%,0.0067,0.1063195329
595,2.83,39.82%,0.005,0.00851547
596,19.55,21.11%,0.0026,0.040099787
597,23.26,25.28%,0.0088,0.1529428736
598,6.74,22.34%,0.0093,0.0486788412
599,10.15,14.27%,0.0036,0.031325742
600,15.94,39.18%,0.0034,0.0329620072
601,2.22,4.55%,0.0014,0.002966586
602,3.32,25.28%,0.0036,0.0089305344
603,12.34,37.73%,0.0019,0.0145998242
604,18.92,16.51%,0.0061,0.0963574788
605,7.98,18.90%,0.0035,0.02265123
606,22.43,10.91%,0.002,0.039965774
607,22.84,34.05%,0.0004,0.006025192
608,22.94,32.37%,0.0099,0.1535917878
609,2.88,37.48%,0.0086,0.0154849536
610,1.26,31.48%,0.0019,0.0016403688
611,10.7,7.26%,0.0083,0.082362394
612,24.99,28.26%,0.0085,0.152386521
613,15.68,0.93%,0.0077,0.1196131552
614,10.69,32.08%,0.0028,0.0203298144
615,14.59,39.93%,0.0032,0.0280454816
616,20.32,0.01%,0.0099,0.2011478832
617,2.19,14.69%,0.0026,0.0048575514
618,19.88,7.52%,0.0059,0.1084716416
619,11.73,36.89%,0.0028,0.0207278484
620,6.01,5.49%,0.0045,0.0255602295
