Date,Time,State,Group,Unit,Sales
1-Oct-2020, Afternoon, VIC, Women, 26, 65000
1-Oct-2020, Afternoon, VIC, Seniors, 32, 80000
1-Oct-2020, Evening, VIC, Kids, 27, 67500
1-Oct-2020, Evening, VIC, Men, 43, 107500
1-Oct-2020, Evening, VIC, Women, 50, 125000
1-Oct-2020, Evening, VIC, Seniors, 44, 110000
1-Oct-2020, Morning, QLD, Kids, 20, 50000
1-Oct-2020, Morning, QLD, Men, 18, 45000
1-Oct-2020, Morning, QLD, Women, 15, 37500
1-Oct-2020, Morning, QLD, Seniors, 14, 35000
1-Oct-2020, Afternoon, QLD, Kids, 18, 45000
1-Oct-2020, Afternoon, QLD, Men, 9, 22500
1-Oct-2020, Afternoon, QLD, Women, 10, 25000
1-Oct-2020, Afternoon, QLD, Seniors, 14, 35000
1-Oct-2020, Evening, QLD, Kids, 11, 27500
1-Oct-2020, Evening, QLD, Men, 6, 15000
1-Oct-2020, Evening, QLD, Women, 5, 12500
1-Oct-2020, Evening, QLD, Seniors, 19, 47500
1-Oct-2020, Morning, NSW, Kids, 39, 97500
1-Oct-2020, Morning, NSW, Men, 17, 42500
1-Oct-2020, Morning, NSW, Women, 34, 85000
1-Oct-2020, Morning, NSW, Seniors, 23, 57500
1-Oct-2020, Afternoon, NSW, Kids, 40, 100000
1-Oct-2020, Afternoon, NSW, Men, 30, 75000
1-Oct-2020, Afternoon, NSW, Women, 30, 75000
1-Oct-2020, Afternoon, NSW, Seniors, 36, 90000
1-Oct-2020, Evening, NSW, Kids, 22, 55000
1-Oct-2020, Evening, NSW, Men, 28, 70000
1-Oct-2020, Evening, NSW, Women, 30, 75000
1-Oct-2020, Evening, NSW, Seniors, 22, 55000
1-Oct-2020, Morning, TAS, Kids, 13, 32500
1-Oct-2020, Morning, TAS, Men, 6, 15000
1-Oct-2020, Morning, TAS, Women, 3, 7500
1-Oct-2020, Morning, TAS, Seniors, 8, 20000
1-Oct-2020, Afternoon, TAS, Kids, 7, 17500
1-Oct-2020, Afternoon, TAS, Men, 6, 15000
1-Oct-2020, Afternoon, TAS, Women, 11, 27500
1-Oct-2020, Afternoon, TAS, Seniors, 10, 25000
1-Oct-2020, Evening, TAS, Kids, 4, 10000
1-Oct-2020, Evening, TAS, Men, 10, 25000
1-Oct-2020, Evening, TAS, Women, 8, 20000
1-Oct-2020, Evening, TAS, Seniors, 7, 17500
2-Oct-2020, Morning, WA, Kids, 10, 25000
2-Oct-2020, Morning, WA, Men, 8, 20000
2-Oct-2020, Morning, WA, Women, 13, 32500
2-Oct-2020, Morning, WA, Seniors, 13, 32500
2-Oct-2020, Afternoon, WA, Kids, 10, 25000
2-Oct-2020, Afternoon, WA, Men, 13, 32500
2-Oct-2020, Afternoon, WA, Women, 8, 20000
2-Oct-2020, Afternoon, WA, Seniors, 6, 15000
2-Oct-2020, Evening, WA, Kids, 7, 17500
2-Oct-2020, Evening, WA, Men, 3, 7500
2-Oct-2020, Evening, WA, Women, 5, 12500
2-Oct-2020, Evening, WA, Seniors, 6, 15000
2-Oct-2020, Morning, NT, Kids, 5, 12500
2-Oct-2020, Morning, NT, Men, 13, 32500
2-Oct-2020, Morning, NT, Women, 13, 32500
2-Oct-2020, Morning, NT, Seniors, 13, 32500
2-Oct-2020, Afternoon, NT, Kids, 11, 27500
2-Oct-2020, Afternoon, NT, Men, 13, 32500
2-Oct-2020, Afternoon, NT, Women, 8, 20000
2-Oct-2020, Afternoon, NT, Seniors, 8, 20000
2-Oct-2020, Evening, NT, Kids, 7, 17500
2-Oct-2020, Evening, NT, Men, 9, 22500
2-Oct-2020, Evening, NT, Women, 3, 7500
2-Oct-2020, Evening, NT, Seniors, 14, 35000
2-Oct-2020, Morning, SA, Kids, 14, 35000
2-Oct-2020, Morning, SA, Men, 13, 32500
2-Oct-2020, Morning, SA, Women, 33, 82500
2-Oct-2020, Morning, SA, Seniors, 19, 47500
2-Oct-2020, Afternoon, SA, Kids, 16, 40000
2-Oct-2020, Afternoon, SA, Men, 19, 47500
2-Oct-2020, Afternoon, SA, Women, 22, 55000
2-Oct-2020, Afternoon, SA, Seniors, 30, 75000
2-Oct-2020, Evening, SA, Kids, 20, 50000
2-Oct-2020, Evening, SA, Men, 23, 57500
2-Oct-2020, Evening, SA, Women, 12, 30000
2-Oct-2020, Evening, SA, Seniors, 23, 57500
2-Oct-2020, Morning, VIC, Kids, 42, 105000
2-Oct-2020, Morning, VIC, Men, 46, 115000
2-Oct-2020, Morning, VIC, Women, 48, 120000
2-Oct-2020, Morning, VIC, Seniors, 26, 65000
2-Oct-2020, Afternoon, VIC, Kids, 46, 115000
2-Oct-2020, Afternoon, VIC, Men, 37, 92500
2-Oct-2020, Afternoon, VIC, Women, 36, 90000
2-Oct-2020, Afternoon, VIC, Seniors, 27, 67500
2-Oct-2020, Evening, VIC, Kids, 42, 105000
2-Oct-2020, Evening, VIC, Men, 37, 92500
2-Oct-2020, Evening, VIC, Women, 36, 90000
2-Oct-2020, Evening, VIC, Seniors, 25, 62500
2-Oct-2020, Morning, QLD, Kids, 13, 32500
2-Oct-2020, Morning, QLD, Men, 7, 17500
2-Oct-2020, Morning, QLD, Women, 12, 30000
2-Oct-2020, Morning, QLD, Seniors, 20, 50000
2-Oct-2020, Afternoon, QLD, Kids, 10, 25000
2-Oct-2020, Afternoon, QLD, Men, 13, 32500
2-Oct-2020, Afternoon, QLD, Women, 7, 17500
2-Oct-2020, Afternoon, QLD, Seniors, 10, 25000
2-Oct-2020, Evening, QLD, Kids, 5, 12500
2-Oct-2020, Evening, QLD, Men, 19, 47500
2-Oct-2020, Evening, QLD, Women, 9, 22500
2-Oct-2020, Evening, QLD, Seniors, 10, 25000
2-Oct-2020, Morning, NSW, Kids, 32, 80000
2-Oct-2020, Morning, NSW, Men, 35, 87500
2-Oct-2020, Morning, NSW, Women, 20, 50000
2-Oct-2020, Morning, NSW, Seniors, 15, 37500
2-Oct-2020, Afternoon, NSW, Kids, 33, 82500
2-Oct-2020, Afternoon, NSW, Men, 37, 92500
2-Oct-2020, Afternoon, NSW, Women, 27, 67500
2-Oct-2020, Afternoon, NSW, Seniors, 28, 70000
2-Oct-2020, Evening, NSW, Kids, 20, 50000
2-Oct-2020, Evening, NSW, Men, 39, 97500
2-Oct-2020, Evening, NSW, Women, 25, 62500
2-Oct-2020, Evening, NSW, Seniors, 29, 72500
2-Oct-2020, Morning, TAS, Kids, 4, 10000
2-Oct-2020, Morning, TAS, Men, 11, 27500
2-Oct-2020, Morning, TAS, Women, 3, 7500
2-Oct-2020, Morning, TAS, Seniors, 10, 25000
2-Oct-2020, Afternoon, TAS, Kids, 11, 27500
2-Oct-2020, Afternoon, TAS, Men, 5, 12500
2-Oct-2020, Afternoon, TAS, Women, 4, 10000
2-Oct-2020, Afternoon, TAS, Seniors, 15, 37500
2-Oct-2020, Evening, TAS, Kids, 11, 27500
2-Oct-2020, Evening, TAS, Men, 6, 15000
2-Oct-2020, Evening, TAS, Women, 14, 35000
2-Oct-2020, Evening, TAS, Seniors, 6, 15000
3-Oct-2020, Morning, WA, Kids, 15, 37500
3-Oct-2020, Morning, WA, Men, 13, 32500
3-Oct-2020, Morning, WA, Women, 6, 15000
3-Oct-2020, Morning, WA, Seniors, 3, 7500
3-Oct-2020, Afternoon, WA, Kids, 9, 22500
3-Oct-2020, Afternoon, WA, Men, 10, 25000
3-Oct-2020, Afternoon, WA, Women, 7, 17500
3-Oct-2020, Afternoon, WA, Seniors, 6, 15000
3-Oct-2020, Evening, WA, Kids, 3, 7500
3-Oct-2020, Evening, WA, Men, 4, 10000
3-Oct-2020, Evening, WA, Women, 13, 32500
3-Oct-2020, Evening, WA, Seniors, 7, 17500
3-Oct-2020, Morning, NT, Kids, 8, 20000
3-Oct-2020, Morning, NT, Men, 12, 30000
3-Oct-2020, Morning, NT, Women, 11, 27500
3-Oct-2020, Morning, NT, Seniors, 3, 7500
3-Oct-2020, Afternoon, NT, Kids, 7, 17500
3-Oct-2020, Afternoon, NT, Men, 11, 27500
3-Oct-2020, Afternoon, NT, Women, 9, 22500
3-Oct-2020, Afternoon, NT, Seniors, 3, 7500
3-Oct-2020, Evening, NT, Kids, 11, 27500
3-Oct-2020, Evening, NT, Men, 7, 17500
3-Oct-2020, Evening, NT, Women, 9, 22500
3-Oct-2020, Evening, NT, Seniors, 12, 30000
3-Oct-2020, Morning, SA, Kids, 19, 47500
3-Oct-2020, Morning, SA, Men, 22, 55000
3-Oct-2020, Morning, SA, Women, 25, 62500
3-Oct-2020, Morning, SA, Seniors, 34, 85000
3-Oct-2020, Afternoon, SA, Kids, 10, 25000
3-Oct-2020, Afternoon, SA, Men, 21, 52500
3-Oct-2020, Afternoon, SA, Women, 11, 27500
3-Oct-2020, Afternoon, SA, Seniors, 10, 25000
3-Oct-2020, Evening, SA, Kids, 31, 77500
3-Oct-2020, Evening, SA, Men, 30, 75000
3-Oct-2020, Evening, SA, Women, 33, 82500
3-Oct-2020, Evening, SA, Seniors, 32, 80000
3-Oct-2020, Morning, VIC, Kids, 50, 125000
3-Oct-2020, Morning, VIC, Men, 35, 87500
3-Oct-2020, Morning, VIC, Women, 49, 122500
3-Oct-2020, Morning, VIC, Seniors, 45, 112500
3-Oct-2020, Afternoon, VIC, Kids, 42, 105000
3-Oct-2020, Afternoon, VIC, Men, 26, 65000
3-Oct-2020, Afternoon, VIC, Women, 42, 105000
3-Oct-2020, Afternoon, VIC, Seniors, 47, 117500
3-Oct-2020, Evening, VIC, Kids, 34, 85000
3-Oct-2020, Evening, VIC, Men, 37, 92500
3-Oct-2020, Evening, VIC, Women, 39, 97500
3-Oct-2020, Evening, VIC, Seniors, 36, 90000
3-Oct-2020, Morning, QLD, Kids, 15, 37500
3-Oct-2020, Morning, QLD, Men, 12, 30000
3-Oct-2020, Morning, QLD, Women, 20, 50000
3-Oct-2020, Morning, QLD, Seniors, 17, 42500
3-Oct-2020, Afternoon, QLD, Kids, 7, 17500
3-Oct-2020, Afternoon, QLD, Men, 16, 40000
3-Oct-2020, Afternoon, QLD, Women, 17, 42500
3-Oct-2020, Afternoon, QLD, Seniors, 9, 22500
3-Oct-2020, Evening, QLD, Kids, 20, 50000
3-Oct-2020, Evening, QLD, Men, 19, 47500
3-Oct-2020, Evening, QLD, Women, 8, 20000
3-Oct-2020, Evening, QLD, Seniors, 7, 17500
3-Oct-2020, Morning, NSW, Kids, 32, 80000
3-Oct-2020, Morning, NSW, Men, 36, 90000
3-Oct-2020, Morning, NSW, Women, 39, 97500
3-Oct-2020, Morning, NSW, Seniors, 27, 67500
3-Oct-2020, Afternoon, NSW, Kids, 18, 45000
3-Oct-2020, Afternoon, NSW, Men, 22, 55000
3-Oct-2020, Afternoon, NSW, Women, 33, 82500
3-Oct-2020, Afternoon, NSW, Seniors, 17, 42500
3-Oct-2020, Evening, NSW, Kids, 32, 80000
3-Oct-2020, Evening, NSW, Men, 15, 37500
3-Oct-2020, Evening, NSW, Women, 36, 90000
3-Oct-2020, Evening, NSW, Seniors, 17, 42500
3-Oct-2020, Morning, TAS, Kids, 4, 10000
3-Oct-2020, Morning, TAS, Men, 12, 30000
3-Oct-2020, Morning, TAS, Women, 8, 20000
3-Oct-2020, Morning, TAS, Seniors, 10, 25000
3-Oct-2020, Afternoon, TAS, Kids, 10, 25000
3-Oct-2020, Afternoon, TAS, Men, 10, 25000
3-Oct-2020, Afternoon, TAS, Women, 14, 35000
3-Oct-2020, Afternoon, TAS, Seniors, 11, 27500
3-Oct-2020, Evening, TAS, Kids, 3, 7500
3-Oct-2020, Evening, TAS, Men, 8, 20000
3-Oct-2020, Evening, TAS, Women, 9, 22500
3-Oct-2020, Evening, TAS, Seniors, 7, 17500
4-Oct-2020, Morning, WA, Kids, 7, 17500
4-Oct-2020, Morning, WA, Men, 15, 37500
4-Oct-2020, Morning, WA, Women, 15, 37500
4-Oct-2020, Morning, WA, Seniors, 3, 7500
4-Oct-2020, Afternoon, WA, Kids, 3, 7500
4-Oct-2020, Afternoon, WA, Men, 10, 25000
4-Oct-2020, Afternoon, WA, Women, 6, 15000
4-Oct-2020, Afternoon, WA, Seniors, 10, 25000
4-Oct-2020, Evening, WA, Kids, 9, 22500
4-Oct-2020, Evening, WA, Men, 8, 20000
4-Oct-2020, Evening, WA, Women, 9, 22500
4-Oct-2020, Evening, WA, Seniors, 15, 37500
4-Oct-2020, Morning, NT, Kids, 9, 22500
4-Oct-2020, Morning, NT, Men, 5, 12500
4-Oct-2020, Morning, NT, Women, 8, 20000
4-Oct-2020, Morning, NT, Seniors, 12, 30000
4-Oct-2020, Afternoon, NT, Kids, 3, 7500
4-Oct-2020, Afternoon, NT, Men, 6, 15000
4-Oct-2020, Afternoon, NT, Women, 7, 17500
4-Oct-2020, Afternoon, NT, Seniors, 13, 32500
4-Oct-2020, Evening, NT, Kids, 11, 27500
4-Oct-2020, Evening, NT, Men, 7, 17500
4-Oct-2020, Evening, NT, Women, 7, 17500
4-Oct-2020, Evening, NT, Seniors, 9, 22500
4-Oct-2020, Morning, SA, Kids, 11, 27500
4-Oct-2020, Morning, SA, Men, 26, 65000
4-Oct-2020, Morning, SA, Women, 19, 47500
4-Oct-2020, Morning, SA, Seniors, 29, 72500
4-Oct-2020, Afternoon, SA, Kids, 15, 37500
4-Oct-2020, Afternoon, SA, Men, 19, 47500
4-Oct-2020, Afternoon, SA, Women, 31, 77500
4-Oct-2020, Afternoon, SA, Seniors, 28, 70000
4-Oct-2020, Evening, SA, Kids, 22, 55000
4-Oct-2020, Evening, SA, Men, 11, 27500
4-Oct-2020, Evening, SA, Women, 11, 27500
4-Oct-2020, Evening, SA, Seniors, 21, 52500
4-Oct-2020, Morning, VIC, Kids, 37, 92500
4-Oct-2020, Morning, VIC, Men, 27, 67500
4-Oct-2020, Morning, VIC, Women, 33, 82500
4-Oct-2020, Morning, VIC, Seniors, 25, 62500
4-Oct-2020, Afternoon, VIC, Kids, 26, 65000
4-Oct-2020, Afternoon, VIC, Men, 27, 67500
4-Oct-2020, Afternoon, VIC, Women, 26, 65000
4-Oct-2020, Afternoon, VIC, Seniors, 36, 90000
4-Oct-2020, Evening, VIC, Kids, 31, 77500
4-Oct-2020, Evening, VIC, Men, 40, 100000
4-Oct-2020, Evening, VIC, Women, 46, 115000
4-Oct-2020, Evening, VIC, Seniors, 34, 85000
4-Oct-2020, Morning, QLD, Kids, 19, 47500
4-Oct-2020, Morning, QLD, Men, 14, 35000
4-Oct-2020, Morning, QLD, Women, 14, 35000
4-Oct-2020, Morning, QLD, Seniors, 20, 50000
4-Oct-2020, Afternoon, QLD, Kids, 16, 40000
4-Oct-2020, Afternoon, QLD, Men, 18, 45000
4-Oct-2020, Afternoon, QLD, Women, 8, 20000
4-Oct-2020, Afternoon, QLD, Seniors, 20, 50000
4-Oct-2020, Evening, QLD, Kids, 12, 30000
4-Oct-2020, Evening, QLD, Men, 17, 42500
4-Oct-2020, Evening, QLD, Women, 16, 40000
4-Oct-2020, Evening, QLD, Seniors, 16, 40000
4-Oct-2020, Morning, NSW, Kids, 21, 52500
4-Oct-2020, Morning, NSW, Men, 39, 97500
4-Oct-2020, Morning, NSW, Women, 34, 85000
4-Oct-2020, Morning, NSW, Seniors, 19, 47500
4-Oct-2020, Afternoon, NSW, Kids, 26, 65000
4-Oct-2020, Afternoon, NSW, Men, 17, 42500
4-Oct-2020, Afternoon, NSW, Women, 33, 82500
4-Oct-2020, Afternoon, NSW, Seniors, 28, 70000
4-Oct-2020, Evening, NSW, Kids, 32, 80000
4-Oct-2020, Evening, NSW, Men, 20, 50000
4-Oct-2020, Evening, NSW, Women, 35, 87500
4-Oct-2020, Evening, NSW, Seniors, 34, 85000
4-Oct-2020, Morning, TAS, Kids, 6, 15000
4-Oct-2020, Morning, TAS, Men, 12, 30000
4-Oct-2020, Morning, TAS, Women, 7, 17500
4-Oct-2020, Morning, TAS, Seniors, 4, 10000
4-Oct-2020, Afternoon, TAS, Kids, 10, 25000
4-Oct-2020, Afternoon, TAS, Men, 8, 20000
4-Oct-2020, Afternoon, TAS, Women, 11, 27500
4-Oct-2020, Afternoon, TAS, Seniors, 15, 37500
4-Oct-2020, Evening, TAS, Kids, 12, 30000
4-Oct-2020, Evening, TAS, Men, 15, 37500
4-Oct-2020, Evening, TAS, Women, 11, 27500
4-Oct-2020, Evening, TAS, Seniors, 11, 27500
5-Oct-2020, Morning, WA, Kids, 11, 27500
5-Oct-2020, Morning, WA, Men, 6, 15000
5-Oct-2020, Morning, WA, Women, 6, 15000
5-Oct-2020, Morning, WA, Seniors, 15, 37500
5-Oct-2020, Afternoon, WA, Kids, 14, 35000
5-Oct-2020, Afternoon, WA, Men, 12, 30000
5-Oct-2020, Afternoon, WA, Women, 3, 7500
5-Oct-2020, Afternoon, WA, Seniors, 5, 12500
5-Oct-2020, Evening, WA, Kids, 7, 17500
5-Oct-2020, Evening, WA, Men, 15, 37500
5-Oct-2020, Evening, WA, Women, 8, 20000
5-Oct-2020, Evening, WA, Seniors, 10, 25000
5-Oct-2020, Morning, NT, Kids, 15, 37500
5-Oct-2020, Morning, NT, Men, 4, 10000
5-Oct-2020, Morning, NT, Women, 8, 20000
5-Oct-2020, Morning, NT, Seniors, 13, 32500
5-Oct-2020, Afternoon, NT, Kids, 9, 22500
5-Oct-2020, Afternoon, NT, Men, 8, 20000
5-Oct-2020, Afternoon, NT, Women, 8, 20000
5-Oct-2020, Afternoon, NT, Seniors, 5, 12500
5-Oct-2020, Evening, NT, Kids, 9, 22500
5-Oct-2020, Evening, NT, Men, 9, 22500
5-Oct-2020, Evening, NT, Women, 3, 7500
5-Oct-2020, Evening, NT, Seniors, 9, 22500
5-Oct-2020, Morning, SA, Kids, 25, 62500
5-Oct-2020, Morning, SA, Men, 32, 80000
5-Oct-2020, Morning, SA, Women, 17, 42500
5-Oct-2020, Morning, SA, Seniors, 32, 80000
5-Oct-2020, Afternoon, SA, Kids, 28, 70000
5-Oct-2020, Afternoon, SA, Men, 17, 42500
5-Oct-2020, Afternoon, SA, Women, 22, 55000
5-Oct-2020, Afternoon, SA, Seniors, 34, 85000
5-Oct-2020, Evening, SA, Kids, 34, 85000
5-Oct-2020, Evening, SA, Men, 26, 65000
5-Oct-2020, Evening, SA, Women, 32, 80000
5-Oct-2020, Evening, SA, Seniors, 11, 27500
5-Oct-2020, Morning, VIC, Kids, 38, 95000
5-Oct-2020, Morning, VIC, Men, 43, 107500
5-Oct-2020, Morning, VIC, Women, 41, 102500
5-Oct-2020, Morning, VIC, Seniors, 38, 95000
5-Oct-2020, Afternoon, VIC, Kids, 34, 85000
5-Oct-2020, Afternoon, VIC, Men, 33, 82500
5-Oct-2020, Afternoon, VIC, Women, 31, 77500
5-Oct-2020, Afternoon, VIC, Seniors, 32, 80000
5-Oct-2020, Evening, VIC, Kids, 40, 100000
5-Oct-2020, Evening, VIC, Men, 38, 95000
5-Oct-2020, Evening, VIC, Women, 30, 75000
5-Oct-2020, Evening, VIC, Seniors, 44, 110000
5-Oct-2020, Morning, QLD, Kids, 7, 17500
5-Oct-2020, Morning, QLD, Men, 11, 27500
5-Oct-2020, Morning, QLD, Women, 13, 32500
5-Oct-2020, Morning, QLD, Seniors, 9, 22500
5-Oct-2020, Afternoon, QLD, Kids, 12, 30000
5-Oct-2020, Afternoon, QLD, Men, 18, 45000
5-Oct-2020, Afternoon, QLD, Women, 9, 22500
5-Oct-2020, Afternoon, QLD, Seniors, 17, 42500
5-Oct-2020, Evening, QLD, Kids, 13, 32500
5-Oct-2020, Evening, QLD, Men, 6, 15000
5-Oct-2020, Evening, QLD, Women, 9, 22500
5-Oct-2020, Evening, QLD, Seniors, 20, 50000
5-Oct-2020, Morning, NSW, Kids, 38, 95000
5-Oct-2020, Morning, NSW, Men, 20, 50000
5-Oct-2020, Morning, NSW, Women, 15, 37500
5-Oct-2020, Morning, NSW, Seniors, 22, 55000
5-Oct-2020, Afternoon, NSW, Kids, 35, 87500
5-Oct-2020, Afternoon, NSW, Men, 32, 80000
5-Oct-2020, Afternoon, NSW, Women, 29, 72500
5-Oct-2020, Afternoon, NSW, Seniors, 20, 50000
5-Oct-2020, Evening, NSW, Kids, 28, 70000
5-Oct-2020, Evening, NSW, Men, 30, 75000
5-Oct-2020, Evening, NSW, Women, 23, 57500
5-Oct-2020, Evening, NSW, Seniors, 34, 85000
5-Oct-2020, Morning, TAS, Kids, 9, 22500
5-Oct-2020, Morning, TAS, Men, 14, 35000
5-Oct-2020, Morning, TAS, Women, 5, 12500
5-Oct-2020, Morning, TAS, Seniors, 11, 27500
5-Oct-2020, Afternoon, TAS, Kids, 7, 17500
5-Oct-2020, Afternoon, TAS, Men, 8, 20000
5-Oct-2020, Afternoon, TAS, Women, 3, 7500
5-Oct-2020, Afternoon, TAS, Seniors, 10, 25000
5-Oct-2020, Evening, TAS, Kids, 15, 37500
5-Oct-2020, Evening, TAS, Men, 12, 30000
5-Oct-2020, Evening, TAS, Women, 13, 32500
5-Oct-2020, Evening, TAS, Seniors, 4, 10000
6-Oct-2020, Morning, WA, Kids, 14, 35000
6-Oct-2020, Morning, WA, Men, 6, 15000
6-Oct-2020, Morning, WA, Women, 10, 25000
6-Oct-2020, Morning, WA, Seniors, 13, 32500
6-Oct-2020, Afternoon, WA, Kids, 5, 12500
6-Oct-2020, Afternoon, WA, Men, 12, 30000
6-Oct-2020, Afternoon, WA, Women, 15, 37500
6-Oct-2020, Afternoon, WA, Seniors, 8, 20000
6-Oct-2020, Evening, WA, Kids, 8, 20000
6-Oct-2020, Evening, WA, Men, 14, 35000
6-Oct-2020, Evening, WA, Women, 4, 10000
6-Oct-2020, Evening, WA, Seniors, 8, 20000
6-Oct-2020, Morning, NT, Kids, 9, 22500
6-Oct-2020, Morning, NT, Men, 11, 27500
6-Oct-2020, Morning, NT, Women, 3, 7500
6-Oct-2020, Morning, NT, Seniors, 10, 25000
6-Oct-2020, Afternoon, NT, Kids, 10, 25000
6-Oct-2020, Afternoon, NT, Men, 9, 22500
6-Oct-2020, Afternoon, NT, Women, 6, 15000
6-Oct-2020, Afternoon, NT, Seniors, 15, 37500
6-Oct-2020, Evening, NT, Kids, 3, 7500
6-Oct-2020, Evening, NT, Men, 9, 22500
6-Oct-2020, Evening, NT, Women, 3, 7500
6-Oct-2020, Evening, NT, Seniors, 10, 25000
6-Oct-2020, Morning, SA, Kids, 26, 65000
6-Oct-2020, Morning, SA, Men, 17, 42500
6-Oct-2020, Morning, SA, Women, 25, 62500
6-Oct-2020, Morning, SA, Seniors, 25, 62500
6-Oct-2020, Afternoon, SA, Kids, 32, 80000
6-Oct-2020, Afternoon, SA, Men, 17, 42500
6-Oct-2020, Afternoon, SA, Women, 19, 47500
6-Oct-2020, Afternoon, SA, Seniors, 26, 65000
6-Oct-2020, Evening, SA, Kids, 21, 52500
6-Oct-2020, Evening, SA, Men, 19, 47500
6-Oct-2020, Evening, SA, Women, 33, 82500
6-Oct-2020, Evening, SA, Seniors, 22, 55000
6-Oct-2020, Morning, VIC, Kids, 50, 125000
6-Oct-2020, Morning, VIC, Men, 28, 70000
6-Oct-2020, Morning, VIC, Women, 35, 87500
6-Oct-2020, Morning, VIC, Seniors, 37, 92500
6-Oct-2020, Afternoon, VIC, Kids, 41, 102500
6-Oct-2020, Afternoon, VIC, Men, 34, 85000
6-Oct-2020, Afternoon, VIC, Women, 48, 120000
6-Oct-2020, Afternoon, VIC, Seniors, 49, 122500
6-Oct-2020, Evening, VIC, Kids, 49, 122500
6-Oct-2020, Evening, VIC, Men, 46, 115000
6-Oct-2020, Evening, VIC, Women, 25, 62500
6-Oct-2020, Evening, VIC, Seniors, 31, 77500
6-Oct-2020, Morning, QLD, Kids, 11, 27500
6-Oct-2020, Morning, QLD, Men, 7, 17500
6-Oct-2020, Morning, QLD, Women, 9, 22500
6-Oct-2020, Morning, QLD, Seniors, 15, 37500
6-Oct-2020, Afternoon, QLD, Kids, 7, 17500
6-Oct-2020, Afternoon, QLD, Men, 15, 37500
6-Oct-2020, Afternoon, QLD, Women, 5, 12500
6-Oct-2020, Afternoon, QLD, Seniors, 7, 17500
6-Oct-2020, Evening, QLD, Kids, 17, 42500
6-Oct-2020, Evening, QLD, Men, 14, 35000
6-Oct-2020, Evening, QLD, Women, 19, 47500
6-Oct-2020, Evening, QLD, Seniors, 20, 50000
6-Oct-2020, Morning, NSW, Kids, 37, 92500
6-Oct-2020, Morning, NSW, Men, 35, 87500
6-Oct-2020, Morning, NSW, Women, 15, 37500
6-Oct-2020, Morning, NSW, Seniors, 17, 42500
6-Oct-2020, Afternoon, NSW, Kids, 39, 97500
6-Oct-2020, Afternoon, NSW, Men, 26, 65000
6-Oct-2020, Afternoon, NSW, Women, 33, 82500
6-Oct-2020, Afternoon, NSW, Seniors, 29, 72500
6-Oct-2020, Evening, NSW, Kids, 40, 100000
6-Oct-2020, Evening, NSW, Men, 20, 50000
6-Oct-2020, Evening, NSW, Women, 28, 70000
6-Oct-2020, Evening, NSW, Seniors, 34, 85000
6-Oct-2020, Morning, TAS, Kids, 14, 35000
6-Oct-2020, Morning, TAS, Men, 5, 12500
6-Oct-2020, Morning, TAS, Women, 14, 35000
6-Oct-2020, Morning, TAS, Seniors, 14, 35000
6-Oct-2020, Afternoon, TAS, Kids, 13, 32500
6-Oct-2020, Afternoon, TAS, Men, 11, 27500
